2024-03-22 14:40:05.858856| Server is activated2024-03-22 14:40:05.859856| listening2024-03-22 14:40:27.302639| Server is activated2024-03-22 14:40:27.303657| listening2024-03-22 14:41:18.545891| Server is activated
2024-03-22 14:41:18.546895| listening
2024-03-27 20:12:03.558017| Server is activated
2024-03-27 20:12:03.559031| listening
2024-03-27 20:49:16.957326| Server is activated
2024-03-27 20:49:55.639911| Server is activated
2024-03-27 20:51:02.127150| Server is activated
2024-03-27 20:51:02.127150| listening on port 9090
2024-03-27 20:52:04.671221| Server is activated
2024-03-27 20:55:55.621074| Server is activated
2024-03-27 20:55:55.626070| listening on port 9090
2024-03-27 20:56:11.543956| Server is activated
2024-03-27 20:56:11.544955| listening on port 9091
2024-03-27 21:24:57.237845| Server is activated
2024-03-27 21:24:59.911186| listening on port 9090
2024-03-27 21:25:40.518868| got connection from 127.0.0.1:61529
2024-03-27 21:54:09.163962| got message from 127.0.0.1:61529
2024-03-27 21:54:09.164962| send message from 127.0.0.1:61529
2024-03-27 21:54:23.902923| got message from 127.0.0.1:61529
2024-03-27 21:54:23.902923| send message from 127.0.0.1:61529
